expo,table,project,sponsors,link,category,special
A,F12,Arkmo,"Amazon Web Services - Best Use of AWS, Decentralise Everything: Blockchain challenge - Ark, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92504-arkmo,Hacker Trail,
A,F2,MyClimate,,http://bitcamp2018.devpost.com/submissions/92480-myclimate,Hacker Trail,
A,F4,Geotify,"Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Accessibility Hack - Microsoft, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92491-geotify,Hacker Trail,
A,F6,Moochacho,"Best use of SparkPost API - SparkPost, Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92494-moochacho,Hacker Trail,
A,F8,Banana Market,"Best Designed Investor Education Product - Finra, Best Financial Hack - Capital One",http://bitcamp2018.devpost.com/submissions/92500-banana-market,Hacker Trail,
A,G1,KruskalMadness,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92511-kruskalmadness,Hacker Trail,
A,G11,PlanetTerp Scheduler,"Most Futuristic Hack - Paypal, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92527-planetterp-scheduler,Hacker Trail,
A,G13,EZ-Cal,,http://bitcamp2018.devpost.com/submissions/92529-ez-cal,Hacker Trail,
A,G3,Everybody Hates Chris,"Best Hack with Esri APIs and SDKs - Esri, Most Unique Hack - 1517 Fund",http://bitcamp2018.devpost.com/submissions/92514-everybody-hates-chris,Hacker Trail,
A,G5,ByteTheBudget,"Best Use of MongoDB Stitch - MongoDB, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best Designed Investor Education Product - Finra, Most Unique Hack - 1517 Fund, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92517-bytethebudget,Hacker Trail,
A,G7,PostL8r,Best use of SparkPost API - SparkPost,http://bitcamp2018.devpost.com/submissions/92521-postl8r,Hacker Trail,
A,G9,Bunny Atsume,,http://bitcamp2018.devpost.com/submissions/92524-bunny-atsume,Hacker Trail,
A,H10,Gin Rummy Scorekeeper,,http://bitcamp2018.devpost.com/submissions/92285-gin-rummy-scorekeeper,Scout Trail,
A,H12,blockballot,Decentralise Everything: Blockchain challenge - Ark,http://bitcamp2018.devpost.com/submissions/92291-blockballot,Scout Trail,
A,H2,Resume Website,,http://bitcamp2018.devpost.com/submissions/92535-resume-website,Hacker Trail,
A,H4,Carify,"Best use of SparkPost API - SparkPost, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Domain Name from Domain.com, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92539-carify,Hacker Trail,
A,H6,VocalLearn,,http://bitcamp2018.devpost.com/submissions/92545-vocallearn,Hacker Trail,
A,H8,Procrastination Station,"Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92278-procrastination-station,Scout Trail,
A,I1,GG 0G,"Using Virtual Reality Technology Design the Best Manufacturing Facility - Lockheed Martin, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92297-gg-0g,Scout Trail,
A,I11,Art with Python - Exploration with Random Loops,,http://bitcamp2018.devpost.com/submissions/92382-art-with-python-exploration-with-random-loops,Scout Trail,
A,I13,Make it Rain,"Best Financial Hack - Capital One, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri",http://bitcamp2018.devpost.com/submissions/92389-make-it-rain,Scout Trail,
A,I3,Flag Practice,Most Unique Hack - 1517 Fund,http://bitcamp2018.devpost.com/submissions/92308-flag-practice,Scout Trail,
A,I5,Against_The_Clock,,http://bitcamp2018.devpost.com/submissions/92314-against_the_clock,Scout Trail,
A,I6,EURECA,"Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92396-eureca,Hacker Trail,
A,I7,Pianist,"Most Futuristic Hack - Paypal, Best Designed Investor Education Product - Finra, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92320-pianist,Scout Trail,
A,I9,Bitcamp2018,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92327-bitcamp2018,Scout Trail,
A,K11,Acred,"Decentralise Everything: Blockchain challenge - Ark, Most Futuristic Hack - Paypal, Best Financial Hack - Capital One, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92366-acred,Venture Trail,
A,K13,TownHall 2.0,"Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Most Unique Hack - 1517 Fund, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92405-townhall-2-0,Venture Trail,
A,K7,YouTune,"Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92542-youtune,Scout Trail,
A,K9,CareMode,"Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92313-caremode,Venture Trail,
A,L10,Anarchypedia,"Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92175-anarchypedia,Hacker Trail,
A,L12,PillBug: The Smarter PillBox,"Best use of SparkPost API - SparkPost, Most Futuristic Hack - Paypal, Best Use of MongoDB Stitch - MongoDB, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92264-pillbug-the-smarter-pillbox,Hacker Trail,
